Root,Case,Plot,Direction,N_Images,PAIe_Hinge,PAI_Hinge,Clumping_Hinge,PAIe_Miller,PAI_Miller,Clumping_Miller,FIPAR,FCOVER
DHP - ERECT - 4000x4000,Case 001,Plot04,up,10,1.66+/-0.06,2.00+/-0.06,0.83+/-0.04,1.46+/-0.05,1.89+/-0.06,0.771+/-0.033,0.9460+/-0.0032,0.26+/-0.07
DHP - ERECT - 4000x4000,Case 002,Plot04,up,10,1.24+/-0.04,1.41+/-0.05,0.87+/-0.04,1.091+/-0.032,1.31+/-0.04,0.831+/-0.035,0.886+/-0.005,0.23+/-0.06
DHP - ERECT - 4000x4000,Case 003,Plot04,up,10,0.706+/-0.022,0.762+/-0.024,0.93+/-0.04,0.624+/-0.018,0.695+/-0.020,0.90+/-0.04,0.711+/-0.007,0.15+/-0.04
DHP - ERECT - 4000x4000,Case 004,Plot04,up,10,1.300+/-0.019,1.406+/-0.034,0.924+/-0.026,1.165+/-0.019,1.366+/-0.026,0.853+/-0.021,0.911+/-0.004,0.59+/-0.07
DHP - ERECT - 4000x4000,Case 005,Plot04,up,10,1.13+/-0.05,1.34+/-0.05,0.85+/-0.05,0.951+/-0.030,1.17+/-0.04,0.81+/-0.04,0.871+/-0.007,0.21+/-0.08
DHP - ERECT - 4000x4000,Case 006,Plot04,up,10,0.97+/-0.07,1.22+/-0.07,0.79+/-0.08,0.88+/-0.04,1.13+/-0.05,0.78+/-0.05,0.834+/-0.011,0.17+/-0.06
DHP - ERECT - 4000x4000,Case 007,Plot04,up,10,0.88+/-0.07,1.40+/-0.13,0.63+/-0.08,0.83+/-0.05,1.26+/-0.08,0.66+/-0.06,0.827+/-0.016,0.24+/-0.07
DHP - ERECT - 4000x4000,Case 008,Plot04,up,10,0.360+/-0.014,0.379+/-0.015,0.95+/-0.05,0.311+/-0.010,0.332+/-0.010,0.94+/-0.04,0.475+/-0.007,0.088+/-0.027
DHP - ERECT - 4000x4000,Case 009,Plot04,up,10,1.06+/-0.06,1.75+/-0.09,0.60+/-0.05,0.91+/-0.04,1.62+/-0.07,0.56+/-0.04,0.811+/-0.015,0.21+/-0.07
DHP - ERECT - 4000x4000,Case 010,Plot04,up,10,1.67+/-0.09,2.56+/-0.17,0.65+/-0.06,1.33+/-0.05,2.19+/-0.09,0.608+/-0.034,0.943+/-0.006,0.27+/-0.08
DHP - ERECT - 4000x4000,Case 011,Plot04,up,10,1.30+/-0.05,1.75+/-0.11,0.74+/-0.06,1.09+/-0.04,1.53+/-0.07,0.71+/-0.04,0.894+/-0.005,0.20+/-0.05
DHP - ERECT - 4000x4000,Case 012,Plot04,up,10,1.50+/-0.07,2.05+/-0.21,0.73+/-0.08,1.30+/-0.04,1.84+/-0.11,0.71+/-0.05,0.9371+/-0.0035,0.26+/-0.04
DHP - ERECT - 4000x4000,Case 013,Plot04,up,10,2.57+/-0.06,2.85+/-0.04,0.901+/-0.024,2.235+/-0.028,2.501+/-0.021,0.894+/-0.013,0.9794+/-0.0027,0.340+/-0.022
DHP - ERECT - 4000x4000,Case 014,Plot04,up,10,1.74+/-0.07,2.74+/-0.14,0.64+/-0.04,1.68+/-0.05,2.86+/-0.09,0.589+/-0.026,0.935+/-0.005,0.38+/-0.08
DHP - ERECT - 4000x4000,Case 015,Plot04,up,10,1.82+/-0.08,3.21+/-0.16,0.57+/-0.04,1.70+/-0.06,3.29+/-0.11,0.518+/-0.024,0.946+/-0.005,0.42+/-0.08
DHP - ERECT - 4000x4000,Case 016,Plot04,up,10,2.57+/-0.11,3.51+/-0.14,0.73+/-0.04,2.21+/-0.07,3.22+/-0.10,0.687+/-0.031,0.9895+/-0.0013,0.37+/-0.08
DHP - ERECT - 4000x4000,Case 017,Plot04,up,10,2.42+/-0.08,3.00+/-0.09,0.81+/-0.04,2.07+/-0.05,2.74+/-0.05,0.758+/-0.023,0.9886+/-0.0012,0.36+/-0.07
DHP - ERECT - 4000x4000,Case 018,Plot04,up,10,0.324+/-0.019,0.380+/-0.024,0.85+/-0.07,0.265+/-0.012,0.350+/-0.021,0.76+/-0.06,0.443+/-0.012,0.031+/-0.017
DHP - ERECT - 4000x4000,Case 019,Plot04,up,10,0.34+/-0.06,0.73+/-0.14,0.46+/-0.12,0.263+/-0.033,0.63+/-0.09,0.42+/-0.08,0.417+/-0.033,0.035+/-0.026
DHP - ERECT - 4000x4000,Case 020,Plot04,up,10,0.61+/-0.04,0.85+/-0.07,0.71+/-0.08,0.544+/-0.025,0.78+/-0.04,0.70+/-0.05,0.683+/-0.014,0.16+/-0.05
DHP - ERECT - 4000x4000,Case 021,Plot04,up,10,0.74+/-0.04,0.97+/-0.06,0.77+/-0.07,0.657+/-0.028,0.88+/-0.04,0.75+/-0.05,0.730+/-0.012,0.17+/-0.06
DHP - ERECT - 4000x4000,Case 022,Plot04,up,10,0.176+/-0.015,0.22+/-0.04,0.80+/-0.15,0.139+/-0.010,0.172+/-0.017,0.81+/-0.10,0.282+/-0.012,0.048+/-0.018
DHP - ERECT - 4000x4000,Case 023,Plot04,up,10,0.191+/-0.013,0.214+/-0.019,0.89+/-0.10,0.145+/-0.008,0.162+/-0.010,0.89+/-0.07,0.296+/-0.008,0.046+/-0.015
DHP - ERECT - 4000x4000,Case 024,Plot04,up,10,2.26+/-0.10,3.25+/-0.12,0.70+/-0.04,1.84+/-0.05,2.77+/-0.06,0.665+/-0.024,0.9798+/-0.0023,0.40+/-0.05
DHP - ERECT - 4000x4000,Case 025,Plot04,up,10,1.21+/-0.09,2.19+/-0.18,0.55+/-0.06,1.09+/-0.06,2.21+/-0.13,0.49+/-0.04,0.876+/-0.011,0.18+/-0.06
DHP - ERECT - 4000x4000,Case 026,Plot04,up,10,1.28+/-0.10,2.52+/-0.21,0.51+/-0.06,1.15+/-0.07,2.66+/-0.15,0.434+/-0.035,0.890+/-0.011,0.18+/-0.06
DHP - ERECT - 4000x4000,Case 027,Plot04,up,10,1.33+/-0.11,2.88+/-0.25,0.46+/-0.05,1.20+/-0.07,2.92+/-0.17,0.409+/-0.033,0.898+/-0.011,0.18+/-0.06
DHP - ERECT - 4000x4000,Case 028,Plot04,up,10,2.84+/-0.15,4.89+/-0.19,0.58+/-0.04,2.30+/-0.07,4.22+/-0.09,0.544+/-0.021,0.9919+/-0.0017,0.48+/-0.06
DHP - ERECT - 4000x4000,Case 029,Plot04,up,10,1.33+/-0.12,2.48+/-0.26,0.54+/-0.07,1.22+/-0.06,2.14+/-0.14,0.57+/-0.05,0.857+/-0.014,0.39+/-0.10
DHP - ERECT - 4000x4000,Case 030,Plot04,up,10,1.60+/-0.12,3.37+/-0.29,0.48+/-0.05,1.49+/-0.06,3.14+/-0.14,0.476+/-0.030,0.927+/-0.008,0.31+/-0.08
DHP - ERECT - 4000x4000,Case 031,Plot04,up,10,1.23+/-0.06,2.01+/-0.15,0.61+/-0.05,1.06+/-0.04,1.79+/-0.08,0.59+/-0.04,0.872+/-0.011,0.21+/-0.06
DHP - ERECT - 4000x4000,Case 032,Plot04,up,10,1.64+/-0.12,3.38+/-0.28,0.48+/-0.05,1.39+/-0.06,2.80+/-0.13,0.498+/-0.031,0.938+/-0.008,0.23+/-0.06
DHP - ERECT - 4000x4000,Case 033,Plot04,up,10,2.179+/-0.016,2.204+/-0.016,0.989+/-0.010,1.889+/-0.010,1.923+/-0.011,0.982+/-0.007,0.97974+/-0.00034,0.461+/-0.009
DHP - ERECT - 4000x4000,Case 034,Plot04,up,10,1.446+/-0.032,1.60+/-0.13,0.90+/-0.07,1.270+/-0.018,1.38+/-0.04,0.921+/-0.029,0.9296+/-0.0027,0.325+/-0.008
DHP - ERECT - 4000x4000,Case 035,Plot04,up,10,0.62+/-0.09,1.9+/-0.4,0.33+/-0.08,0.50+/-0.05,1.55+/-0.19,0.32+/-0.05,0.693+/-0.028,0.016+/-0.016
DHP - ERECT - 4000x4000,Case 036,Plot04,up,10,1.96+/-0.04,2.11+/-0.04,0.927+/-0.025,1.712+/-0.031,1.928+/-0.033,0.888+/-0.022,0.9686+/-0.0012,0.39+/-0.05
DHP - ERECT - 4000x4000,Case 037,Plot04,up,10,2.26+/-0.05,2.70+/-0.08,0.834+/-0.032,1.94+/-0.04,2.42+/-0.05,0.801+/-0.023,0.9819+/-0.0011,0.40+/-0.06
DHP - ERECT - 4000x4000,Case 038,Plot04,up,10,0.35+/-0.06,0.80+/-0.15,0.44+/-0.11,0.271+/-0.034,0.67+/-0.10,0.40+/-0.08,0.430+/-0.034,0.037+/-0.027
DHP - ERECT - 4000x4000,Case 039,Plot04,up,10,2.925+/-0.021,2.968+/-0.023,0.985+/-0.010,2.535+/-0.012,2.582+/-0.013,0.982+/-0.007,0.99396+/-0.00013,0.563+/-0.009
DHP - ERECT - 4000x4000,Case 040,Plot04,up,10,3.619+/-0.021,3.675+/-0.021,0.985+/-0.008,3.171+/-0.014,3.239+/-0.015,0.979+/-0.006,0.99826+/-0.00007,0.647+/-0.009
DHP - ERECT - 4000x4000,Case 041,Plot04,up,10,4.385+/-0.030,4.463+/-0.029,0.982+/-0.009,3.806+/-0.016,3.903+/-0.018,0.975+/-0.006,0.999479+/-0.000031,0.719+/-0.008
DHP - ERECT - 4000x4000,Case 042,Plot04,up,10,0.61+/-0.09,1.69+/-0.34,0.36+/-0.09,0.49+/-0.05,1.44+/-0.18,0.34+/-0.05,0.685+/-0.028,0.015+/-0.015
DHP - ERECT - 4000x4000,Case 043,Plot04,up,10,1.17+/-0.12,2.21+/-0.27,0.53+/-0.09,0.94+/-0.07,1.93+/-0.15,0.48+/-0.05,0.871+/-0.017,0.11+/-0.06
DHP - ERECT - 4000x4000,Case 044,Plot04,up,10,0.62+/-0.11,1.8+/-0.4,0.34+/-0.09,0.47+/-0.05,1.39+/-0.17,0.34+/-0.05,0.70+/-0.04,0.047+/-0.033
DHP - ERECT - 4000x4000,Case 045,Plot04,up,10,1.37+/-0.12,2.90+/-0.24,0.47+/-0.06,1.31+/-0.08,2.81+/-0.14,0.47+/-0.04,0.893+/-0.012,0.35+/-0.12
