cv,fold,level,target,pred,n,mae,rmse,bias,r,r2
KFold,0,image,truth_PAI,cnn,40,0.5964,0.6970,-0.0981,0.7509,0.4769
KFold,0,case_orientation_mean,truth_PAI,cnn,4,0.4768,0.5324,-0.0981,0.8429,0.6948
KFold,1,image,truth_PAI,cnn,40,0.6042,0.7375,-0.0151,0.7958,0.5782
KFold,1,case_orientation_mean,truth_PAI,cnn,4,0.4468,0.4736,-0.0151,0.9090,0.8261
KFold,2,image,truth_PAI,cnn,40,1.7220,2.0894,-1.2653,0.7316,0.1054
KFold,2,case_orientation_mean,truth_PAI,cnn,4,1.7220,2.0515,-1.2653,0.8122,0.1376
KFold,3,image,truth_PAI,cnn,40,0.5635,0.6918,0.1558,0.9470,0.4808
KFold,3,case_orientation_mean,truth_PAI,cnn,4,0.4716,0.5306,0.1558,0.9908,0.6946
KFold,4,image,truth_PAI,cnn,40,0.6957,0.9309,0.4617,0.8077,0.5385
KFold,4,case_orientation_mean,truth_PAI,cnn,4,0.5556,0.7942,0.4617,0.9040,0.6642
KFold,OOF,image,truth_PAI,cnn,200,0.8363,1.1611,-0.1522,0.6892,0.4583
KFold,OOF,case_orientation_mean,truth_PAI,cnn,20,0.7346,1.0610,-0.1522,0.7470,0.5476
