image_path,filename,simulation_set,orientation,case_norm,plot,truth_PAI,truth_LAI,truth_Clumping,truth_sim_id
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 001/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 001,Plot04,3.135,3.0,0.97,1
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 001/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 001,Plot04,3.135,3.0,0.97,1
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 001/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 001,Plot04,3.135,3.0,0.97,1
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 001/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 001,Plot04,3.135,3.0,0.97,1
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 001/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 001,Plot04,3.135,3.0,0.97,1
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 001/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 001,Plot04,3.135,3.0,0.97,1
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 001/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 001,Plot04,3.135,3.0,0.97,1
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 001/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 001,Plot04,3.135,3.0,0.97,1
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 001/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 001,Plot04,3.135,3.0,0.97,1
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 001/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 001,Plot04,3.135,3.0,0.97,1
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 002/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 002,Plot04,2.135,2.0,0.96,2
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 002/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 002,Plot04,2.135,2.0,0.96,2
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 002/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 002,Plot04,2.135,2.0,0.96,2
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 002/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 002,Plot04,2.135,2.0,0.96,2
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 002/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 002,Plot04,2.135,2.0,0.96,2
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 002/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 002,Plot04,2.135,2.0,0.96,2
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 002/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 002,Plot04,2.135,2.0,0.96,2
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 002/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 002,Plot04,2.135,2.0,0.96,2
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 002/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 002,Plot04,2.135,2.0,0.96,2
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 002/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 002,Plot04,2.135,2.0,0.96,2
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 003/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 003,Plot04,1.135,1.0,0.92,3
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 003/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 003,Plot04,1.135,1.0,0.92,3
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 003/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 003,Plot04,1.135,1.0,0.92,3
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 003/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 003,Plot04,1.135,1.0,0.92,3
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 003/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 003,Plot04,1.135,1.0,0.92,3
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 003/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 003,Plot04,1.135,1.0,0.92,3
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 003/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 003,Plot04,1.135,1.0,0.92,3
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 003/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 003,Plot04,1.135,1.0,0.92,3
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 003/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 003,Plot04,1.135,1.0,0.92,3
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 003/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 003,Plot04,1.135,1.0,0.92,3
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 004/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 004,Plot04,2.135,2.0,0.96,4
