image_path,filename,simulation_set,orientation,case_norm,plot,truth_PAI,truth_LAI,truth_Clumping,truth_sim_id,truth_PAIe_hinge,truth_Clumping_hinge
Simulations/RND/Case 001/test0.png,test0.png,RND,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/RND/Case 001/test1.png,test1.png,RND,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/RND/Case 001/test2.png,test2.png,RND,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/RND/Case 001/test3.png,test3.png,RND,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/RND/Case 001/test4.png,test4.png,RND,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/RND/Case 001/test5.png,test5.png,RND,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/RND/Case 001/test6.png,test6.png,RND,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/RND/Case 001/test7.png,test7.png,RND,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/RND/Case 001/test8.png,test8.png,RND,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/RND/Case 001/test9.png,test9.png,RND,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/RND/Case 002/test0.png,test0.png,RND,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/RND/Case 002/test1.png,test1.png,RND,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/RND/Case 002/test2.png,test2.png,RND,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/RND/Case 002/test3.png,test3.png,RND,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/RND/Case 002/test4.png,test4.png,RND,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/RND/Case 002/test5.png,test5.png,RND,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/RND/Case 002/test6.png,test6.png,RND,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/RND/Case 002/test7.png,test7.png,RND,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/RND/Case 002/test8.png,test8.png,RND,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/RND/Case 002/test9.png,test9.png,RND,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/RND/Case 003/test0.png,test0.png,RND,RND,Case 003,,1.135,1.0,0.92,3,,
Simulations/RND/Case 003/test1.png,test1.png,RND,RND,Case 003,,1.135,1.0,0.92,3,,
Simulations/RND/Case 003/test2.png,test2.png,RND,RND,Case 003,,1.135,1.0,0.92,3,,
Simulations/RND/Case 003/test3.png,test3.png,RND,RND,Case 003,,1.135,1.0,0.92,3,,
Simulations/RND/Case 003/test4.png,test4.png,RND,RND,Case 003,,1.135,1.0,0.92,3,,
Simulations/RND/Case 003/test5.png,test5.png,RND,RND,Case 003,,1.135,1.0,0.92,3,,
Simulations/RND/Case 003/test6.png,test6.png,RND,RND,Case 003,,1.135,1.0,0.92,3,,
Simulations/RND/Case 003/test7.png,test7.png,RND,RND,Case 003,,1.135,1.0,0.92,3,,
Simulations/RND/Case 003/test8.png,test8.png,RND,RND,Case 003,,1.135,1.0,0.92,3,,
Simulations/RND/Case 003/test9.png,test9.png,RND,RND,Case 003,,1.135,1.0,0.92,3,,
Simulations/RND/Case 004/test0.png,test0.png,RND,RND,Case 004,,2.135,2.0,0.96,4,,
Simulations/RND/Case 004/test1.png,test1.png,RND,RND,Case 004,,2.135,2.0,0.96,4,,
Simulations/RND/Case 004/test2.png,test2.png,RND,RND,Case 004,,2.135,2.0,0.96,4,,
Simulations/RND/Case 004/test3.png,test3.png,RND,RND,Case 004,,2.135,2.0,0.96,4,,
Simulations/RND/Case 004/test4.png,test4.png,RND,RND,Case 004,,2.135,2.0,0.96,4,,
Simulations/RND/Case 004/test5.png,test5.png,RND,RND,Case 004,,2.135,2.0,0.96,4,,
Simulations/RND/Case 004/test6.png,test6.png,RND,RND,Case 004,,2.135,2.0,0.96,4,,
Simulations/RND/Case 004/test7.png,test7.png,RND,RND,Case 004,,2.135,2.0,0.96,4,,
Simulations/RND/Case 004/test8.png,test8.png,RND,RND,Case 004,,2.135,2.0,0.96,4,,
Simulations/RND/Case 004/test9.png,test9.png,RND,RND,Case 004,,2.135,2.0,0.96,4,,
Simulations/RND/Case 005/test0.png,test0.png,RND,RND,Case 005,,2.135,2.0,0.96,5,,
Simulations/RND/Case 005/test1.png,test1.png,RND,RND,Case 005,,2.135,2.0,0.96,5,,
Simulations/RND/Case 005/test2.png,test2.png,RND,RND,Case 005,,2.135,2.0,0.96,5,,
Simulations/RND/Case 005/test3.png,test3.png,RND,RND,Case 005,,2.135,2.0,0.96,5,,
Simulations/RND/Case 005/test4.png,test4.png,RND,RND,Case 005,,2.135,2.0,0.96,5,,
