image_path,filename,simulation_set,orientation,case_norm,plot,truth_PAI,truth_LAI,truth_Clumping,truth_sim_id,truth_PAIe_hinge,truth_Clumping_hinge
Simulations/Sunny Hemiphotos/RND/Case 001/test0.png,test0.png,Sunny Hemiphotos,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/Sunny Hemiphotos/RND/Case 001/test1.png,test1.png,Sunny Hemiphotos,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/Sunny Hemiphotos/RND/Case 001/test2.png,test2.png,Sunny Hemiphotos,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/Sunny Hemiphotos/RND/Case 001/test3.png,test3.png,Sunny Hemiphotos,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/Sunny Hemiphotos/RND/Case 001/test4.png,test4.png,Sunny Hemiphotos,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/Sunny Hemiphotos/RND/Case 001/test5.png,test5.png,Sunny Hemiphotos,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/Sunny Hemiphotos/RND/Case 001/test6.png,test6.png,Sunny Hemiphotos,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/Sunny Hemiphotos/RND/Case 001/test7.png,test7.png,Sunny Hemiphotos,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/Sunny Hemiphotos/RND/Case 001/test8.png,test8.png,Sunny Hemiphotos,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/Sunny Hemiphotos/RND/Case 001/test9.png,test9.png,Sunny Hemiphotos,RND,Case 001,,3.135,3.0,0.97,1,,
Simulations/Sunny Hemiphotos/RND/Case 002/test0.png,test0.png,Sunny Hemiphotos,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/Sunny Hemiphotos/RND/Case 002/test1.png,test1.png,Sunny Hemiphotos,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/Sunny Hemiphotos/RND/Case 002/test2.png,test2.png,Sunny Hemiphotos,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/Sunny Hemiphotos/RND/Case 002/test3.png,test3.png,Sunny Hemiphotos,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/Sunny Hemiphotos/RND/Case 002/test4.png,test4.png,Sunny Hemiphotos,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/Sunny Hemiphotos/RND/Case 002/test5.png,test5.png,Sunny Hemiphotos,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/Sunny Hemiphotos/RND/Case 002/test6.png,test6.png,Sunny Hemiphotos,RND,Case 002,,2.135,2.0,0.96,2,,
Simulations/Sunny Hemiphotos/RND/Case 002/test7.png,test7.png,Sunny Hemiphotos,RND,Case 002,,2.135,2.0,0.96,2,,
